np_id,id,site,site_url,product_name,image_url,category,sub_category,description,free_delivery,cash_on_delivery,days_to_deliver,discount_percentage,return_policy,brand_name,reviews,rating,trust score
16,48,reliancedigital,https://www.reliancedigital.in/product/boat-rockerz-450-wireless-bluetooth-headphone-with-up-to-8h-playback-adaptive-lightweight-design-immersive-audio-easy-access-controls-and-dual-mode-compatibility-black,boAt Rockerz 450 Bluetooth On Ear Headphones with Mic,https://m.media-amazon.com/images/I/51FNnHjzhQL._SY355_.jpg,audio,headphones,"15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",available,not-available,6,67,5 days return,boat,289,3.6,57.28
17,49,amazon,https://www.amazon.in/Sony-WH-1000XM4-Cancelling-Headphones-Bluetooth/dp/B0863FR3S9?tag=bhtk09-21&ascsubtag=btk&th=1,"SONY WH-1000XM4 Bluetooth Gaming  (Silver, On the Ear)",https://m.media-amazon.com/images/I/61UgZSYRllL._SY450_.jpg,audio,headphones,"Headphones with Mic, Hi-Res Audio, Up to 30 Hrs Battery- Silver",available,available,9,32,10 days replacement,sony,1120,4,67.74
17,50,flipkart,https://www.flipkart.com/sony-wh1000xm4-sm-bluetooth-headset/p/itm323a5fe1f842f?affExtParam1=68d23fe5cfc4010345581878&affExtParam2=198&affid=rohanpouri,"SONY WH-1000XM4 Bluetooth Gaming  (Silver, On the Ear)",https://m.media-amazon.com/images/I/61UgZSYRllL._SY450_.jpg,audio,headphones,"Headphones with Mic, Hi-Res Audio, Up to 30 Hrs Battery- Silver",not available,not-available,4,40,7 days return,sony,785,4.6,54.86
17,51,shopsy,https://www.shopsy.in/sony-wh-1000xm4-bluetooth-gaming/p/itm154b8e0640a9c?pid=ACCGCVGXYWHPQJGU,"SONY WH-1000XM4 Bluetooth Gaming  (Silver, On the Ear)",https://m.media-amazon.com/images/I/61UgZSYRllL._SY450_.jpg,audio,headphones,"Headphones with Mic, Hi-Res Audio, Up to 30 Hrs Battery- Silver",available,available,4,36,5 days return,sony,46,3,59.67
18,52,amazon,https://www.amazon.in/Noise-Launched-Wireless-Over-Ear-Headphones/dp/B0DGV465ZW?tag=bhtk09-21&ascsubtag=btk&th=1,Noise Airwave Max 5 Overhead Wireless Headphone,https://m.media-amazon.com/images/I/61MXLJNBvYL._SY355_.jpg,audio,headphones,"With Mic,3.5 mm Connector, 10 m Wireless range,80 Hours Playtime, v5.4 Bluetooth Version,40MM Driver, HFA Tech,3-D Spatial Audio, IPX5 Water Resistance, Ultra-low Latency (30ms), Dual - device pairing, Quad mic ANC",available,available,5,33,10 days replacement,noise,288,4.2,72.68
18,53,flipkart,https://www.flipkart.com/noise-airwave-max-5-80-hours-playtime-hfa-tech-adaptive-anc-50db-dual-pairing-bluetooth/p/itm2d9d6ef9e0d07?affExtParam1=68d258e38ed4e90344f39623&affExtParam2=198&affid=rohanpouri&cmpid=content_headphone_8965229628_gmc&pid=ACCH4RM5SE9HVGWB,Noise Airwave Max 5 Overhead Wireless Headphone,https://m.media-amazon.com/images/I/61MXLJNBvYL._SY355_.jpg,audio,headphones,"With Mic,3.5 mm Connector, 10 m Wireless range,80 Hours Playtime, v5.4 Bluetooth Version,40MM Driver, HFA Tech,3-D Spatial Audio, IPX5 Water Resistance, Ultra-low Latency (30ms), Dual - device pairing, Quad mic ANC",not available,available,5,33,7 days replacement,noise,66,4.2,58.3
18,54,reliancedigital,https://www.reliancedigital.in/product/noise-airwave-max-5-overhead-wireless-headphone-carbon-black-m6uox5-8881059,Noise Airwave Max 5 Overhead Wireless Headphone,https://m.media-amazon.com/images/I/61MXLJNBvYL._SY355_.jpg,audio,headphones,"With Mic,3.5 mm Connector, 10 m Wireless range,80 Hours Playtime, v5.4 Bluetooth Version,40MM Driver, HFA Tech,3-D Spatial Audio, IPX5 Water Resistance, Ultra-low Latency (30ms), Dual - device pairing, Quad mic ANC",available,not-available,8,33,5 days return,noise,0,0,21.95
19,55,amazon,https://www.amazon.in/AKG-Wired-Headphone-without-Black/dp/B0001ARCFA?tag=bhtk09-21&ascsubtag=btk,AKG K240 Professional Studio Headphones,https://m.media-amazon.com/images/I/71GqLOydxRL._SY550_.jpg,audio,headphones,"Without Mic, 3.5 mm Connector, Over-Ear Design Comfort for long working sessions, Semi-Open Technology Solid bass and clear highs, Patented Varimotion 30mm XXL Transducer Accurate signal, transfer and great dynamic range, Self-Adjusting Headband Provides optimum fit every time",available,available,7,76,10 days replacement,akg,11633,4.5,83.65
19,56,flipkart,https://www.flipkart.com/akg-k240-professional-studio-wired-without-mic/p/itm7ea53f5c21ecf?affExtParam1=68d25b2a995e9d0345e56552&affExtParam2=198&affid=rohanpouri&cmpid=content_headphone_8965229628_gmc&pid=ACCFT4BFUUBTKFHY,AKG K240 Professional Studio Headphones,https://m.media-amazon.com/images/I/71GqLOydxRL._SY550_.jpg,audio,headphones,"Without Mic, 3.5 mm Connector, Over-Ear Design Comfort for long working sessions, Semi-Open Technology Solid bass and clear highs, Patented Varimotion 30mm XXL Transducer Accurate signal, transfer and great dynamic range, Self-Adjusting Headband Provides optimum fit every time",available,available,5,67,7 days replacement,akg,0,4.3,67.05
19,57,shopsy,https://www.shopsy.in/akg-k240-professional-studio-wired-without-mic/p/itm154b8e0640a9c?pid=ACCFT4BFUUBTKFHY,AKG K240 Professional Studio Headphones,https://m.media-amazon.com/images/I/71GqLOydxRL._SY550_.jpg,audio,headphones,"Without Mic, 3.5 mm Connector, Over-Ear Design Comfort for long working sessions, Semi-Open Technology Solid bass and clear highs, Patented Varimotion 30mm XXL Transducer Accurate signal, transfer and great dynamic range, Self-Adjusting Headband Provides optimum fit every time",available,not-available,5,67,5 days return,akg,15,4.3,57.57
20,58,amazon,https://www.amazon.in/Zebronics-Bluetooth-Headphone-Assistant-Multifunction/dp/B088FLHXJX?tag=bhtk09-21&ascsubtag=btk&th=1,"ZEBRONICS Zeb-Duke Dual Pairing Bluetooth(Blue,On the Ear)",https://m.media-amazon.com/images/I/61H9yOSWJwL._SY355_.jpg,audio,headphones,"Wireless Headphone with Up to 60h Backup,Supports Bluetooth,Dual Pairing,Gaming Mode,Environmental Noise Cancellation (ENC),LED Lights,Deep Bass,Voice Assistant Support",available,not-available,4,64,10 days replacement,zebronics,15703,3.8,73.33
20,59,flipkart,https://www.flipkart.com/zebronics-zeb-duke-60h-backup-bt-v5-3-gaming-mode-enc-led-lights-dual-pairing-bluetooth/p/itm688c968a793cd?affExtParam1=68d25e9ec3aa950345f34fe2&affExtParam2=198&affid=rohanpouri&cmpid=content_headphone_8965229628_gmc&pid=ACCFRR83EFREFT2U,"ZEBRONICS Zeb-Duke Dual Pairing Bluetooth(Blue,On the Ear)",https://m.media-amazon.com/images/I/61H9yOSWJwL._SY355_.jpg,audio,headphones,"Wireless Headphone with Up to 60h Backup,Supports Bluetooth,Dual Pairing,Gaming Mode,Environmental Noise Cancellation (ENC),LED Lights,Deep Bass,Voice Assistant Support",not available,available,1,64,7 days replacement,zebronics,1476,4,72.99
20,60,shopsy,https://www.shopsy.in/zebronics-duke-wireless-headphone-blue/p/itm154b8e0640a9c?pid=ACCFRR83EFREFT2U,"ZEBRONICS Zeb-Duke Dual Pairing Bluetooth(Blue,On the Ear)",https://m.media-amazon.com/images/I/61H9yOSWJwL._SY355_.jpg,audio,headphones,"Wireless Headphone with Up to 60h Backup,Supports Bluetooth,Dual Pairing,Gaming Mode,Environmental Noise Cancellation (ENC),LED Lights,Deep Bass,Voice Assistant Support",available,available,1,64,5 day return,zebronics,1476,4,76.99
21,61,amazon,https://www.amazon.in/Boat-Airdopes-131-Earbuds-Blue/dp/B0FPM5QP4F?tag=bhtk09-21&ascsubtag=btk&th=1,Boat Airdopes 131 Gen 2 Wireless Earphones(Ice Blue),https://m.media-amazon.com/images/I/61neN50V+jL._SY355_.jpg,audio,earbuds,"13mm Drivers, 70H Battery, ENx Tech, Beast Mode 45 ms Low Latency, ASAP Charge, Bluetooth Earbuds,TWS Ear Buds ",available,available,7,73,10 days replacement,boat,4,3,63.07
